"county_code","date_id","Clinton","Trump","Stein","Johnson"
5071,1001,3.15,3.15,0.00,0.33
5073,1001,1.92,4.67,0.00,0.27
5075,1001,1.49,3.58,0.00,0.90
5077,1001,0.00,1.92,0.00,0.00
5079,1001,2.71,5.88,0.00,0.23
5081,1001,2.04,4.09,0.00,0.17
5083,1001,2.70,6.01,0.09,0.17
5085,1001,1.92,3.79,0.41,0.57
5087,1001,1.65,1.41,0.12,0.12
5089,1001,2.51,4.33,0.14,0.70
5091,1001,2.34,3.55,0.29,0.33
5093,1001,1.62,5.33,0.04,0.18
5095,1001,3.88,2.59,0.00,0.00
5097,1001,1.93,3.47,0.00,0.00
5099,1001,2.13,2.40,0.00,0.27
5101,1001,1.80,2.92,0.06,0.12
5103,1001,4.19,5.15,0.09,0.26
5105,1001,1.43,2.87,0.29,0.29
5107,1001,3.18,1.95,0.00,0.00
5109,1001,2.17,5.32,0.00,0.20
5111,1001,2.03,3.16,0.00,0.56
5113,1001,2.29,2.75,0.11,0.34
5115,1001,2.14,3.27,0.05,0.42
5117,1001,2.97,3.96,0.00,0.00
5119,1001,1.98,3.43,0.13,0.42
5121,1001,1.77,2.95,0.12,0.24
5123,1001,2.79,6.93,0.21,0.10
5125,1001,2.24,3.71,0.05,0.33
5127,1001,2.38,5.70,0.00,0.48
5129,1001,1.41,1.76,0.00,0.35
5131,1001,2.42,3.72,0.10,0.35
5133,1001,8.74,8.02,2.67,2.88
5135,1001,1.52,3.27,0.06,0.47
5137,1001,3.07,8.03,0.15,0.15
5139,1001,1.59,4.24,0.15,0.15
5141,1001,1.60,2.93,0.13,0.13
5143,1001,2.32,3.45,0.16,0.51
5145,1001,2.00,3.70,0.14,0.63
5147,1001,0.51,1.52,0.00,0.51
5149,1001,1.23,3.56,0.00,0.12
6001,1001,2.05,3.53,0.24,0.40
6003,1001,2.59,2.93,0.11,0.45
6005,1001,2.32,3.27,0.00,0.65
6007,1001,1.80,3.31,0.20,0.49
6009,1001,1.74,3.60,0.04,0.31
6011,1001,0.78,1.97,0.21,0.14
6013,1001,2.22,3.81,0.27,0.47
6015,1001,3.12,2.82,0.30,0.69
6017,1001,2.40,3.46,0.31,0.69
6019,1001,1.74,3.43,0.16,0.31
6021,1001,2.08,3.72,0.13,0.36
6023,1001,2.29,3.45,0.49,0.38
6025,1001,1.80,3.00,0.09,0.22
6027,1001,2.73,4.18,0.18,0.18
6029,1001,1.60,2.93,0.09,0.30
6031,1001,1.31,3.02,0.07,0.33
6033,1001,1.47,3.02,0.20,0.18
6035,1001,2.59,2.79,0.10,0.52
6037,1001,2.06,3.63,0.23,0.35
6039,1001,1.60,3.09,0.13,0.39
6041,1001,2.04,3.69,0.21,0.43
6043,1001,1.78,4.05,0.12,0.65
6045,1001,2.27,2.95,0.23,0.58
6047,1001,1.89,3.29,0.15,0.32
6049,1001,1.22,2.03,0.00,0.20
6051,1001,1.66,3.62,0.38,0.24
6053,1001,1.91,3.31,0.16,0.29
6055,1001,1.95,3.32,0.15,0.38
6057,1001,2.66,3.28,0.25,0.57
6059,1001,1.92,3.33,0.16,0.39
6061,1001,2.27,3.66,0.14,0.40
6063,1001,2.07,3.42,0.15,0.38
6065,1001,1.95,3.53,0.15,0.32
6067,1001,1.60,2.83,0.11,0.32
6069,1001,2.11,3.51,0.09,0.29
6071,1001,1.73,2.97,0.12,0.30
6073,1001,1.86,3.37,0.16,0.41
6075,1001,2.07,3.68,0.20,0.39
6077,1001,1.67,2.98,0.12,0.31
6079,1001,1.59,3.17,0.21,0.37
6081,1001,2.11,3.65,0.16,0.46
6083,1001,1.71,3.25,0.20,0.40
6085,1001,1.91,3.54,0.15,0.36
6087,1001,2.40,4.07,0.30,0.41
6089,1001,2.23,3.08,0.16,0.44
6091,1001,2.65,4.42,0.00,0.00
6093,1001,1.68,2.23,0.30,0.23
6095,1001,2.17,3.55,0.15,0.38
6097,1001,1.95,3.47,0.21,0.43
6099,1001,1.80,3.12,0.17,0.31
6101,1001,1.61,2.71,0.11,0.35
6103,1001,2.62,3.17,0.17,0.40
6105,1001,1.89,3.53,0.13,0.38
6107,1001,1.60,3.23,0.08,0.28
6109,1001,1.81,3.27,0.38,0.49
6111,1001,2.08,3.81,0.17,0.42
6113,1001,1.70,3.11,0.21,0.48
6115,1001,1.28,2.34,0.09,0.26
8001,1001,1.82,3.58,0.15,0.55
8003,1001,2.86,5.34,0.26,0.52
8005,1001,2.09,3.53,0.16,0.74
8007,1001,1.23,1.80,0.34,0.45
8009,1001,1.61,4.03,0.00,0.81
8011,1001,0.69,2.06,0.00,3.09
8013,1001,2.04,3.27,0.30,0.66
8014,1001,1.96,3.12,0.23,0.85
8015,1001,1.65,2.85,0.18,0.64
8017,1001,0.90,1.80,0.00,0.90
8019,1001,2.19,4.08,0.15,0.83
8021,1001,2.13,3.83,0.00,0.43
8023,1001,1.25,3.76,0.00,0.31
8025,1001,2.31,5.38,0.00,0.00
8027,1001,1.65,1.65,0.28,0.83
8029,1001,1.78,3.12,0.15,0.52
8031,1001,1.95,3.71,0.16,0.75
8033,1001,0.00,0.00,0.00,0.00
8035,1001,2.25,3.65,0.26,1.13
8037,1001,2.07,3.23,0.32,0.57
8039,1001,2.48,3.04,0.08,1.28
8041,1001,1.83,3.44,0.16,0.72
8043,1001,2.32,3.90,0.68,0.96
8045,1001,1.69,3.20,0.20,0.53
8047,1001,0.31,1.88,0.00,1.25
8049,1001,1.30,4.46,0.19,0.50
8051,1001,1.32,2.86,0.11,0.57
8053,1001,0.00,1.64,1.64,1.64
8055,1001,1.44,7.47,0.29,1.15
8057,1001,1.31,2.75,0.13,0.59
8059,1001,2.03,3.66,0.22,0.84
8061,1001,1.54,1.54,0.00,0.00
8063,1001,3.43,6.18,0.23,1.14
8065,1001,0.69,2.22,0.00,0.28
8067,1001,1.93,3.08,0.36,0.92
8069,1001,2.17,5.40,0.16,0.87
8071,1001,3.48,4.22,0.11,0.42
8073,1001,1.56,6.23,0.26,0.26
8075,1001,1.74,6.54,0.13,0.40
8077,1001,1.81,3.71,0.10,0.67
8079,1001,0.00,0.00,0.00,0.00
8081,1001,1.27,3.28,0.21,0.42
8083,1001,2.08,4.21,0.25,0.94
8085,1001,1.71,3.76,0.11,0.28
8087,1001,1.44,4.58,0.00,0.51
8089,1001,2.52,4.62,0.28,0.14
8091,1001,3.07,4.35,0.26,0.26
8093,1001,2.71,4.81,0.17,0.72
8095,1001,2.14,4.29,0.00,0.36
8097,1001,2.38,4.38,0.26,0.70
8099,1001,2.16,3.91,0.00,0.67
8101,1001,2.06,6.80,0.18,0.87
8103,1001,1.77,5.30,0.00,0.57
8105,1001,0.72,4.11,0.00,0.48
8107,1001,1.49,2.83,0.16,0.55
8109,1001,0.88,5.05,0.44,1.32
8111,1001,3.70,16.67,0.00,3.70
8113,1001,2.99,8.13,0.00,1.07
8115,1001,4.73,4.14,0.00,0.59
8117,1001,2.01,4.51,0.10,0.44
8119,1001,1.49,4.52,0.14,1.42
8121,1001,1.34,4.03,0.00,0.00
8123,1001,1.80,4.34,0.13,0.82
8125,1001,2.24,5.51,0.00,0.20
9001,1001,2.59,4.29,0.20,0.53
9003,1001,2.04,3.44,0.17,0.42
9005,1001,2.58,4.41,0.15,0.49
9007,1001,2.67,4.29,0.26,0.53
9009,1001,2.47,4.31,0.18,0.48
9011,1001,2.24,3.68,0.16,0.48
9013,1001,2.25,3.35,0.26,0.79
9015,1001,3.23,5.39,0.43,0.73
10001,1001,2.02,3.64,0.16,0.47
10003,1001,2.29,3.64,0.27,0.62
10005,1001,2.42,3.71,0.09,0.39
12001,1001,2.07,3.31,0.17,0.49
12003,1001,1.36,5.16,0.00,0.00
12005,1001,1.99,4.99,0.10,0.37
12007,1001,1.93,2.66,0.16,0.21
12009,1001,1.74,3.12,0.11,0.29
